"Modul","Epic","Jenis","User Story","Divisi","Programmer","Status","Note"
"Halaman","Sejajan","Fix","Remove remaining non-LMS references from views, channels, and tests","Backend","Fawzan","Done","-"
"Halaman","Attendance","Refactor","Eliminate all non-LMS features (sejajan, donasi, artikel, perpossagar, eplin, webex/ekskul, buku)","Backend","Rithma","Done","-"
"Projek","Konfigurasi","Revisi","Update package.json and lock file","Backend","Sesheirr","Done","-"
"Projek","Konfigurasi","Revisi","Add Makefile for onboarding and dev workflow","Backend","Ratu","Done","-"
"Projek","Konfigurasi","Revisi","Restore .env.example and .env.local","Backend","Ratu","Done","-"
"Projek","Projek","Add","Include classroom info in /me response","Backend","Yoshi","Done","-"
"Halaman","Attendance","Add","Add attendance management admin interface","Backend","Yoshi","Done","-"
"Projek","Dokumentasi","Add","Membangun antarmuka Kelola Absensi KBM dan membersihkan rute web materi kelas","Backend","Fadlan","Done","-"
"Halaman","Attendance","Add","Mengintegrasikan perubahan controller absensi guru","Backend","Rithma","Done","-"
"Projek","Dokumentasi","Revisi","Update LMS Melesat documentation to reflect admin infrastructure refactoring","Backend","Fadlan","Done","-"
"Halaman","Classroom","Add","Complete admin infrastructure refactoring","Backend","Fawzan","Done","-"
"Projek","Dokumentasi","Revisi","Capture phase context","Backend","Rithma","Done","-"
"Projek","Dokumentasi","Revisi","Create milestone v1.0 roadmap (6 phases)","Backend","Sesheirr","Done","-"
"Projek","Dokumentasi","Revisi","Define milestone v1.0 requirements","Backend","Ratu","Done","-"
"Projek","Dokumentasi","Revisi","Start milestone v1.0 Backend Foundation","Backend","Yoshi","Done","-"
"Halaman","Sejajan","Fix","Restore API contract alignment with v2 source of truth","Backend","Fadlan","Done","-"
"Halaman","Authentication","Add","Global toast notification system + Tailwind UI badge standardization","Backend","Fawzan","Done","-"
"Komponen","Components","Revisi","Simplify badge notices to compact pill style","Backend","Rithma","Done","-"
"Komponen","Components","Add","Badge-style notices for auth error and success messages","Backend","Sesheirr","Done","-"
"Halaman","Authentication","Fix","Move auth error message below password field for better UX","Backend","Ratu","Done","-"
"Halaman","Authentication","Add","Indonesian error messages with HTTP codes for auth pages","Backend","Yoshi","Done","-"
"Komponen","Layout","Fix","Add cursor-pointer to all actionable elements","Backend","Fadlan","Done","-"
"Halaman","Landing Page","Add","Global light/dark theme with light as default","Backend","Fawzan","Done","-"
"Halaman","Authentication","Revisi","Refactor auth pages with dark glassmorphism theme & Selaju identity","Backend","Rithma","Done","-"
"Projek","Konfigurasi","Revisi","Remove tracked compiled views (already in .gitignore)","Backend","Sesheirr","Done","-"
"Projek","Projek","Fix","Make Echo/Reverb non-breaking with conditional init guard","Backend","Ratu","Done","-"
"Halaman","Authentication","Revisi","Unify auth pages with dark glassmorphism theme","Backend","Yoshi","Done","-"
"Halaman","Landing Page","Fix","Rebuild landing page with Tailwind v4 + Stitch theme, remove ROJANA naming","Backend","Fadlan","Done","-"
"Halaman","Landing Page","Add","Build Selaju System landing page (Phase 2)","Backend","Fawzan","Done","-"
"Halaman","Student","Add","Complete LMS Melesat admin dashboard (Phase 1)","Backend","Rithma","Done","-"
"Halaman","Sejajan","Refactor","Extract inline validation to FormRequest classes (Phase 6)","Backend","Sesheirr","Done","-"
"Projek","Dokumentasi","Revisi","Add comprehensive app documentation & fix README image paths","Backend","Ratu","Done","-"
"Halaman","Perpossagar","Add","Add Sejajan + Donation tests & fix participant_id bug (Phase 5)","Backend","Fadlan","Done","-"
"Halaman","Classroom","Add","Fix test suite and add auth tests (Phase 4)","Backend","Yoshi","Done","-"
"Halaman","Student","Refactor","Code quality improvements (Phase 3)","Backend","Fawzan","Done","-"
"Halaman","Classroom","Fix","Security hardening and dead code cleanup (Phase 2)","Backend","Rithma","Done","-"
"Halaman","Student","Fix","Resolve 10 critical and medium bugs (Phase 1)","Backend","Sesheirr","Done","-"
"Komponen","Layout","Fix","Mass restore shared files","Backend","Yoshi","Done","-"
"Halaman","Student","Add","Membangun content management untuk guru dan siswa","Backend","Rithma","Done","-"
"Halaman","Student","Add","Implement course materials content management","Backend","Sesheirr","Done","-"
"Halaman","Student","Fix","Resolve intelephense warnings and add ide-helper for better dev experience","Backend","Fadlan","Done","-"
"Halaman","Classroom","Add","Menambahkan daftar kelas pada halaman sekolah","Backend","Yoshi","Done","-"
"Halaman","Classroom","Add","Implement complete KBM schedule module with room management","Backend","Fawzan","Done","-"
"Halaman","Teacher","Refactor","Move teachers to school section, clean up LMS student/classroom views","Backend","Sesheirr","Done","-"
"API","Middleware","Add","Enable teacher role to access LMS master data endpoints","Backend","Fadlan","Done","-"
"Halaman","Classroom","Refactor","Simplify classroom form to 5 essential fields and auto-generate nama kelas","Backend","Ratu","Done","-"
"Halaman","Classroom","Add","Implement UI for classrooms, teachers, and schedules; pending data integration fix","Backend","Fawzan","Done","-"
"Halaman","Attendance","Add","Backend lms api, role middleware, and postman collection done","Backend","Yoshi","Done","-"
"Projek","Projek","Refactor","Menghapus query debug yang tertinggal","Backend","Rithma","Done","-"
"Projek","Projek","Refactor","Menghapus kode debug yang tertinggal","Backend","Sesheirr","Done","-"
"Halaman","Eplin","Fix","Memperbaiki logika filter","Backend","Fadlan","Done","-"
"Halaman","Eplin","Add","Menambahkan filter backend","Backend","Fawzan","Done","-"
"API","Routes","Fix","Memperbaiki API modul Eplin","Backend","Ratu","Done","-"
"API","Routes","Add","Menambahkan API endpoint baru","Backend","Fadlan","Done","-"
"API","Routes","Fix","Memperbaiki endpoint API","Backend","Rithma","Done","-"
"Halaman","Eplin","Add","Menambahkan endpoint download","Backend","Sesheirr","Done","-"
"Halaman","Eplin","Add","Melakukan mapping data pada modul terkait","Backend","Yoshi","Done","-"
"Halaman","Eplin","Fix","Memperbaiki endpoint API","Backend","Fawzan","Done","-"
"Halaman","Eplin","Add","Menyembunyikan laporan petugas","Backend","Ratu","Done","-"
"Halaman","Bank Account","Fix","Memperbaiki input foto rekening bank","Backend","Fadlan","Done","-"
"Halaman","Bank Account","Add","Menambahkan fitur manajemen rekening bank","Backend","Rithma","Done","-"
"Halaman","Perpossagar","Add","Menambahkan halaman index admin Perpossagar","Backend","Sesheirr","Done","-"
"Halaman","Eplin","Add","Build aset frontend","Backend","Yoshi","Done","-"
"Halaman","Student","Add","Add EplinViolator management with CRUD operations and views","Backend","Fawzan","Done","-"
"Halaman","Student","Fix","Menyelesaikan perbaikan pembuatan laporan","Backend","Fadlan","Done","-"
"Halaman","Attendance","Fix","Memperbaiki pembuatan laporan","Backend","Ratu","Done","-"
"Halaman","Eplin","Fix","Memperbaiki pembuatan laporan","Backend","Rithma","Done","-"
"Halaman","Attendance","Fix","Memperbaiki pembuatan laporan","Backend","Sesheirr","Done","-"
"Halaman","Student","Fix","Memperbaiki fitur pencarian siswa","Backend","Yoshi","Done","-"
"Halaman","Student","Fix","Memperbaiki bug pada modul Eplin","Backend","Fawzan","Done","-"
"Halaman","Eplin","Fix","Memperbaiki bug pada modul Eplin","Backend","Fadlan","Done","-"
"Halaman","Eplin","Fix","Memperbaiki bug pada modul Eplin","Backend","Ratu","Done","-"
"Halaman","Attendance","Fix","Memperbaiki bug pada modul Eplin","Backend","Rithma","Done","-"
"Halaman","Attendance","Fix","Memperbaiki bug pada modul Eplin","Backend","Sesheirr","Done","-"
"Halaman","Attendance","Fix","Memperbaiki modul Eplin","Backend","Yoshi","Done","-"
"Halaman","Eplin","Fix","Memperbaiki modul Eplin","Backend","Fawzan","Done","-"
"Halaman","Attendance","Add","Menambahkan modul Eplin (Pelanggaran Disiplin)","Backend","Fadlan","Done","-"
"Halaman","Attendance","Add","Membuat modul Perpossagar","Backend","Ratu","Done","-"
"Halaman","Donasi","Add","Implementasi fitur donasi","Backend","Rithma","Done","-"
"Halaman","Donasi","Fix","Melanjutkan perbaikan modul donasi","Backend","Sesheirr","Done","-"
"Halaman","Donasi","Fix","Melanjutkan perbaikan modul donasi","Backend","Yoshi","Done","-"
"Halaman","Donasi","Fix","Melanjutkan perbaikan modul donasi","Backend","Fawzan","Done","-"
"Halaman","Donasi","Fix","Melanjutkan perbaikan modul donasi","Backend","Fadlan","Done","-"
"Halaman","Donasi","Fix","Melanjutkan perbaikan modul donasi","Backend","Rithma","Done","-"
"Halaman","Donasi","Fix","Memperbaiki modul donasi","Backend","Sesheirr","Done","-"
"Halaman","Donasi","Fix","Memperbaiki alur donasi","Backend","Ratu","Done","-"
"Halaman","Donasi","Fix","Memperbaiki modul manajemen rekening bank","Backend","Fadlan","Done","-"
"Halaman","Donasi","Add","Implementasi API endpoint donasi","Backend","Fawzan","Done","-"
"Halaman","Donasi","Fix","Memperbaiki modul donasi","Backend","Yoshi","Done","-"
"Projek","Konfigurasi","Add","Konfigurasi token pembayaran DOKU","Backend","Rithma","Done","-"
"Halaman","Donasi","Add","Implementasi integrasi payment gateway DOKU","Backend","Sesheirr","Done","-"
"Halaman","Artikel","Add","Implementasi fitur manajemen artikel","Backend","Ratu","Done","-"
"Halaman","Perpossagar","Add","Menambahkan API endpoint baru","Backend","Fadlan","Done","-"
"Projek","Konfigurasi","Add","Konfigurasi CORS untuk akses API lintas domain","Backend","Fawzan","Done","-"
"Halaman","Student","Fix","Memperbaiki tampilan daftar siswa","Backend","Yoshi","Done","-"
"API","Routes","Refactor","Change Account model to extend Authenticatable and update relationships","Backend","Rithma","Done","-"
"API","Routes","Add","Menambahkan API endpoint untuk manajemen data","Backend","Sesheirr","Done","-"
"Halaman","Student","Refactor","Refactoring struktur kode untuk peningkatan keterbacaan dan pemeliharaan","Backend","Ratu","Done","-"
"Halaman","Authentication","Fix","Memperbaiki alur registrasi peserta","Backend","Fadlan","Done","-"
"Halaman","Student","Fix","Memperbaiki validasi NISN pada pendaftaran siswa","Backend","Fawzan","Done","-"
"Halaman","Student","Add","Migrate from participants to accounts with device session management","Backend","Yoshi","Done","-"
"Halaman","Perpossagar","Fix","Memperbaiki kategori pada modul konten","Backend","Rithma","Done","-"
"Projek","Build","Add","Build aset frontend untuk produksi","Backend","Sesheirr","Done","-"
"Halaman","Perpossagar","Add","Add language management for Perpossagar books","Backend","Fadlan","Done","-"
"API","Notifikasi","Add","Menambahkan template email teks untuk notifikasi","Backend","Ratu","Done","-"
"Projek","Konfigurasi","Add","Menambahkan endpoint verifikasi email peserta","Backend","Fawzan","Done","-"
"Halaman","Student","Fix","Memperbaiki alur registrasi peserta","Backend","Yoshi","Done","-"
"Database","Migration","Fix","Memperbaiki alur registrasi peserta","Backend","Rithma","Done","-"
"Halaman","Student","Fix","Memperbaiki alur registrasi peserta","Backend","Sesheirr","Done","-"
"Halaman","Student","Fix","Memperbaiki alur registrasi peserta","Backend","Fadlan","Done","-"
"Halaman","Student","Add","Mengimpor data siswa secara batch","Backend","Ratu","Done","-"
"Database","Migration","Add","Menambahkan enkripsi data sensitif","Backend","Fawzan","Done","-"
"Database","Migration","Add","Memperbaiki konfigurasi assignment","Backend","Yoshi","Done","-"
"Database","Migration","Add","Menambahkan konfigurasi database","Backend","Rithma","Done","-"
"Database","Migration","Fix","Memperbaiki skema migrasi database","Backend","Sesheirr","Done","-"
"Halaman","Student","Add","Migrasi driver database dari MySQL ke PostgreSQL","Backend","Fadlan","Done","-"
"Halaman","Student","Add","Add student management views for creating, editing, importing, and listing students","Backend","Fawzan","Done","-"
"Halaman","Perpossagar","Add","Menyelesaikan konflik merge dan sinkronisasi kode","Backend","Rithma","Done","-"
"Halaman","Perpossagar","Add","Add hero settings and read count to Perpossagar books","Backend","Fadlan","Done","-"
"Projek","Projek","Add","Build aset frontend untuk produksi","Backend","Sesheirr","Done","-"
"Projek","Projek","Add","Build aset frontend untuk produksi","Backend","Yoshi","Done","-"
"Projek","Projek","Add","Konfigurasi .gitignore untuk mengecualikan aset","Backend","Fawzan","Done","-"
"Projek","Dokumentasi","Add","Menambahkan diagram alir data (DFD)","Backend","Ratu","Done","-"
"Halaman","Perpossagar","Add","Add Perpossagar API endpoints for categories and books","Backend","Fadlan","Done","-"
"Halaman","Perpossagar","Add","Implementasi modul Perpossagar","Backend","Rithma","Done","-"
"Halaman","Perpossagar","Add","Implementasi modul Perpossagar","Backend","Sesheirr","Done","-"
"Halaman","Perpossagar","Add","Implementasi modul Perpossagar","Backend","Yoshi","Done","-"
"Halaman","Perpossagar","Add","Menjalankan migrasi database untuk skema terbaru","Backend","Fawzan","Done","-"
"Projek","Projek","Add","Meningkatkan performa dan konfigurasi dependensi","Backend","Ratu","Done","-"
"Projek","Dokumentasi","Add","Membuat diagram ERD untuk dokumentasi database","Backend","Fadlan","Done","-"
"Halaman","Sejajan","Add","Menambahkan dokumentasi teknis UKK","Backend","Rithma","Done","-"
"Projek","Dokumentasi","Revisi","Menyusun dokumentasi teknis proyek","Backend","Sesheirr","Done","-"
"Projek","Dokumentasi","Revisi","Menyusun dokumentasi teknis proyek","Backend","Fawzan","Done","-"
"Projek","Dokumentasi","Revisi","Menyusun dokumentasi teknis proyek","Backend","Yoshi","Done","-"
"Projek","Dokumentasi","Revisi","Menyusun dokumentasi teknis proyek","Backend","Ratu","Done","-"
"Projek","Dokumentasi","Revisi","Menyusun dokumentasi teknis proyek","Backend","Fadlan","Done","-"
"Projek","Dokumentasi","Add","Membuat diagram UML untuk dokumentasi arsitektur","Backend","Rithma","Done","-"
"Projek","Projek","Add","Implementasi sistem Broadcasting real-time","Backend","Sesheirr","Done","-"
"Halaman","Sejajan","Add","Implementasi sistem Broadcasting real-time","Backend","Fawzan","Done","-"
"Halaman","Sejajan","Add","Broadcasting and Tanstack","Backend","Yoshi","Done","-"
"Komponen","Layout","Add","Menambahkan navigasi sidebar dinamis","Backend","Fadlan","Done","-"
"Halaman","Sejajan","Add","Implementasi API endpoint manajemen pesanan","Backend","Ratu","Done","-"
"Projek","Dokumentasi","Revisi","Menyusun dokumentasi teknis proyek","Backend","Rithma","Done","-"
"Halaman","Sejajan","Add","Implement SejajanCart functionality with CRUD operations and migration for cart items","Backend","Sesheirr","Done","-"
"Halaman","Sejajan","Add","Add index and update methods to SejajanOrderController, update API routes for order management","Backend","Fawzan","Done","-"
"Halaman","Sejajan","Add","Add location pickup field to SejajanOrder model and migration, implement order creation logic in SejajanOrderController","Backend","Yoshi","Done","-"
"Halaman","Authentication","Add","Enhance login and guest layouts with improved UI components and styles","Backend","Fadlan","Done","-"
"Projek","Build","Add","Menambahkan logo dan aset branding","Backend","Ratu","Done","-"
"Projek","Dokumentasi","Add","Memperbaiki konfigurasi dan logika minor","Backend","Rithma","Done","-"
"Halaman","Sejajan","Add","Menambahkan halaman manajemen produk Sejajan","Backend","Sesheirr","Done","-"
"API","Routes","Add","Menambahkan dokumen desain perangkat lunak (SDD)","Backend","Fawzan","Done","-"
"Halaman","Sejajan","Add","Add CRUD operations for Sejajan products with slug auto-generation","Backend","Fadlan","Done","-"
"Halaman","Assignment & Announcement","Fix","Memperbaiki bug minor pada modul terkait","Backend","Yoshi","Done","-"
"Projek","Build","Add","Memperbaiki konfigurasi minor","Backend","Ratu","Done","-"
"API","Routes","Add","Memperbaiki slug generation pada produk","Backend","Rithma","Done","-"
"API","Routes","Fix","Memperbaiki bug minor pada modul terkait","Backend","Sesheirr","Done","-"
"Projek","Projek","Add","Add test mail script for debugging SMTP","Backend","Fawzan","Done","-"
"Halaman","Perpossagar","Add","Implement book management API with CRUD operations and related models","Backend","Fadlan","Done","-"
"Projek","Konfigurasi","Add","Konfigurasi CORS untuk akses API lintas domain","Backend","Yoshi","Done","-"
"Projek","Konfigurasi","Add","Add CORS configuration for improved API access","Backend","Ratu","Done","-"
"Projek","Build","Add","Memperbaiki konfigurasi minor","Backend","Rithma","Done","-"
"Projek","Dokumentasi","Add","Stop tracking public/assets/modules and add .gitkeep + README","Backend","Sesheirr","Done","-"
"Halaman","Sejajan","Refactor","Refactoring struktur kode untuk peningkatan keterbacaan dan pemeliharaan","Backend","Fawzan","Done","-"
"Halaman","Assignment & Announcement","Add","Add generation management feature with auto-assignment for participants","Backend","Fadlan","Done","-"
"Halaman","Sejajan","Add","Add Sejajan model, controller, and related migrations for store management","Backend","Yoshi","Done","-"
"API","Routes","Add","Enforce single-session by removing existing tokens before creating a new one","Backend","Ratu","Done","-"
"API","Notifikasi","Add","Implement email verification for participants with API endpoints and notifications","Backend","Rithma","Done","-"
"Halaman","Authentication","Add","Migrate participant model from UUID to ID as primary key and update related logic","Backend","Sesheirr","Done","-"
"Halaman","Authentication","Add","Enhance registration process with birth date and Sanctum token management","Backend","Fawzan","Done","-"
"Halaman","Authentication","Add","Add phone number and unique participant number to registration process","Backend","Fadlan","Done","-"
"Halaman","Authentication","Add","Implement multi-step registration process for participants","Backend","Yoshi","Done","-"
"API","Routes","Add","Menambahkan konfigurasi rute API","Backend","Ratu","Done","-"
"API","Routes","Refactor","Remove SchoolModuleController and its routes from the application","Backend","Rithma","Done","-"
"API","Routes","Add","Implement school management module with CRUD operations and configuration settings","Backend","Sesheirr","Done","-"
"Halaman","Artikel","Revisi","Enhance dark mode styles for sun-editor button text and icons","Backend","Fawzan","Done","-"
"Halaman","Artikel","Revisi","Update sun-editor styles for improved dark mode appearance","Backend","Fadlan","Done","-"
"Halaman","Artikel","Refactor","Refactoring struktur kode untuk peningkatan keterbacaan dan pemeliharaan","Backend","Yoshi","Done","-"
"Halaman","Artikel","Fix","Memperbaiki indentasi dan format pada tampilan artikel","Backend","Ratu","Done","-"
"Halaman","Artikel","Refactor","Refactoring struktur kode, menghapus blok redundan, dan optimasi fungsi","Backend","Rithma","Done","-"
"Halaman","Artikel","Add","Implementasi tampilan manajemen pengguna dan komponen icon picker","Backend","Sesheirr","Done","-"
"Database","Migration","Refactor","Refactoring struktur kode untuk peningkatan keterbacaan dan pemeliharaan","Backend","Fawzan","Done","-"
"Projek","Projek","Add","Inisialisasi proyek Laravel dengan scaffolding autentikasi dan konfigurasi dasar","Backend","Fadlan","Done","-"
